PPG1,PPG2
74.136,-12.801
72.96,-13.09
71.784,-13.38
70.632,-13.672
69.492,-13.967
68.364,-14.264
67.26,-14.563
66.18,-14.866
65.124,-15.172
64.092,-15.481
63.084,-15.793
62.1,-16.109
61.164,-16.429
60.24,-16.753
59.364,-17.079
58.512,-17.41
57.708,-17.744
56.928,-18.081
56.184,-18.421
55.476,-18.765
54.792,-19.111
54.156,-19.46
53.544,-19.811
52.98,-20.164
52.44,-20.518
51.936,-20.875
51.456,-21.232
51.012,-21.59
50.604,-21.948
50.22,-22.306
49.86,-22.664
49.536,-23.022
49.248,-23.378
48.972,-23.733
48.732,-24.087
48.516,-24.439
48.336,-24.788
48.168,-25.136
48.036,-25.481
47.928,-25.823
47.856,-26.162
47.808,-26.498
47.784,-26.831
47.784,-27.161
47.82,-27.487
47.892,-27.811
47.988,-28.131
48.12,-28.448
48.288,-28.762
48.48,-29.073
48.72,-29.382
48.996,-29.687
49.308,-29.991
49.656,-30.292
50.052,-30.591
50.484,-30.889
50.952,-31.185
51.48,-31.481
52.044,-31.775
52.644,-32.068
53.304,-32.362
54,-32.655
54.744,-32.949
55.536,-33.243
56.376,-33.538
57.252,-33.834
58.176,-34.131
59.148,-34.429
60.156,-34.73
61.212,-35.031
62.304,-35.335
63.444,-35.641
64.608,-35.948
65.82,-36.258
67.056,-36.57
68.316,-36.884
69.612,-37.2
70.932,-37.517
72.276,-37.837
73.644,-38.158
75.024,-38.481
76.416,-38.805
77.832,-39.13
79.248,-39.456
80.664,-39.782
82.092,-40.109
83.508,-40.436
84.936,-40.763
86.34,-41.089
87.744,-41.414
89.136,-41.738
90.516,-42.061
91.884,-42.382
93.216,-42.7
94.536,-43.016
95.832,-43.33
97.104,-43.64
98.34,-43.947
99.552,-44.25
100.74,-44.55
101.892,-44.846
103.008,-45.138
104.088,-45.425
105.132,-45.708
106.14,-45.986
107.112,-46.26
108.06,-46.529
108.96,-46.793
109.824,-47.053
110.652,-47.308
111.444,-47.559
112.2,-47.805
112.92,-48.047
113.616,-48.285
114.264,-48.519
114.888,-48.749
115.476,-48.976
116.028,-49.199
116.556,-49.42
117.048,-49.638
117.516,-49.853
117.96,-50.067
118.368,-50.279
118.752,-50.49
119.112,-50.7
119.46,-50.909
119.772,-51.119
120.06,-51.328
120.336,-51.539
120.588,-51.75
120.816,-51.963
121.032,-52.178
121.224,-52.395
121.392,-52.614
121.548,-52.837
121.692,-53.063
121.812,-53.293
121.908,-53.527
121.992,-53.765
122.064,-54.008
122.112,-54.256
122.148,-54.51
122.16,-54.769
122.148,-55.033
122.124,-55.304
122.076,-55.581
122.016,-55.865
121.932,-56.155
121.824,-56.452
121.692,-56.756
121.536,-57.067
121.368,-57.386
121.164,-57.711
120.936,-58.044
120.696,-58.385
120.42,-58.733
120.108,-59.088
119.784,-59.451
119.424,-59.821
119.04,-60.199
118.62,-60.584
118.176,-60.977
117.696,-61.377
117.192,-61.784
116.652,-62.199
116.088,-62.62
115.488,-63.048
114.852,-63.483
114.18,-63.925
113.484,-64.373
112.752,-64.828
111.984,-65.288
111.18,-65.755
110.352,-66.227
109.488,-66.705
108.588,-67.188
107.664,-67.677
106.704,-68.17
105.72,-68.668
104.7,-69.17
103.656,-69.676
102.576,-70.187
101.484,-70.7
100.356,-71.218
99.204,-71.738
98.028,-72.261
96.84,-72.786
95.616,-73.314
94.392,-73.844
93.144,-74.375
91.884,-74.907
90.612,-75.441
89.34,-75.975
88.044,-76.51
86.76,-77.045
85.464,-77.581
84.18,-78.115
82.896,-78.65
81.624,-79.184
80.352,-79.716
79.104,-80.248
77.868,-80.779
76.644,-81.308
75.456,-81.835
74.28,-82.361
73.14,-82.886
72.036,-83.408
70.956,-83.929
69.912,-84.449
68.916,-84.967
67.956,-85.483
67.032,-85.998
66.156,-86.513
65.328,-87.026
64.548,-87.539
63.816,-88.052
63.132,-88.564
62.508,-89.078
61.932,-89.592
61.404,-90.108
60.924,-90.625
60.504,-91.145
60.12,-91.668
59.796,-92.195
59.52,-92.725
59.292,-93.26
59.112,-93.801
58.968,-94.348
58.86,-94.9
58.8,-95.46
58.776,-96.028
58.776,-96.603
58.812,-97.187
58.884,-97.781
58.968,-98.383
59.076,-98.995
59.196,-99.616
59.328,-100.247
59.472,-100.889
59.628,-101.539
59.784,-102.2
59.94,-102.869
60.084,-103.546
60.228,-104.232
60.36,-104.924
60.48,-105.623
60.588,-106.326
60.672,-107.032
60.732,-107.74
60.78,-108.448
60.792,-109.153
60.792,-109.855
60.756,-110.549
60.696,-111.235
60.6,-111.908
60.492,-112.566
60.336,-113.206
60.168,-113.824
59.964,-114.417
59.736,-114.98
59.472,-115.51
59.196,-116.004
58.896,-116.456
58.56,-116.862
58.212,-117.218
57.852,-117.519
57.468,-117.761
57.072,-117.939
56.664,-118.048
56.256,-118.084
55.824,-118.042
55.404,-117.918
54.972,-117.706
54.54,-117.403
54.108,-117.003
53.688,-116.504
53.268,-115.901
52.86,-115.19
52.464,-114.368
52.08,-113.431
51.708,-112.376
51.36,-111.202
51.024,-109.904
50.7,-108.482
50.412,-106.934
50.124,-105.258
49.872,-103.454
49.632,-101.521
49.428,-99.459
49.236,-97.269
49.068,-94.952
48.912,-92.508
48.792,-89.941
48.684,-87.252
48.612,-84.444
48.54,-81.52
48.504,-78.484
48.48,-75.341
48.48,-72.094
48.492,-68.748
48.528,-65.31
48.576,-61.785
48.636,-58.179
48.708,-54.499
48.804,-50.751
48.9,-46.942
49.008,-43.08
49.14,-39.173
49.272,-35.227
49.404,-31.252
49.56,-27.255
49.716,-23.244
49.872,-19.227
50.04,-15.213
50.22,-11.209
50.388,-7.223
50.568,-3.265
50.76,0.66
50.94,4.542
51.132,8.375
51.324,12.151
51.516,15.864
51.708,19.506
51.9,23.073
52.104,26.556
52.296,29.953
52.488,33.256
52.68,36.461
52.86,39.565
53.052,42.563
53.232,45.451
53.412,48.228
53.58,50.891
53.748,53.437
53.916,55.866
54.072,58.176
54.216,60.366
54.348,62.438
54.48,64.391
54.588,66.227
54.696,67.946
54.78,69.55
54.852,71.041
54.912,72.422
54.948,73.696
54.96,74.866
54.96,75.934
54.936,76.906
54.888,77.784
54.816,78.573
54.72,79.277
54.588,79.9
54.432,80.448
54.252,80.924
54.036,81.334
53.784,81.681
53.496,81.972
53.172,82.211
52.812,82.401
52.416,82.549
51.972,82.658
51.504,82.732
50.988,82.777
50.424,82.795
49.824,82.792
49.176,82.77
48.492,82.733
47.76,82.685
46.98,82.628
46.152,82.565
45.288,82.5
44.376,82.433
43.428,82.368
42.42,82.306
41.376,82.249
40.296,82.198
39.156,82.154
37.98,82.119
36.768,82.092
35.508,82.075
34.2,82.068
32.868,82.071
31.488,82.083
30.072,82.104
28.62,82.135
27.132,82.174
25.608,82.222
24.06,82.276
22.476,82.336
20.868,82.401
19.224,82.471
17.556,82.544
15.864,82.618
14.148,82.694
12.42,82.769
10.668,82.842
8.892,82.913
7.104,82.98
5.304,83.042
3.492,83.098
1.668,83.147
-0.168,83.188
-2.004,83.221
-3.852,83.243
-5.7,83.256
-7.56,83.258
-9.408,83.248
-11.268,83.226
-13.128,83.193
-14.976,83.146
-16.824,83.087
-18.66,83.016
-20.496,82.931
-22.332,82.834
-24.156,82.725
-25.968,82.604
-27.768,82.471
-29.568,82.327
-31.344,82.171
-33.12,82.006
-34.872,81.831
-36.624,81.647
-38.352,81.455
-40.068,81.256
-41.784,81.05
-43.476,80.837
-45.144,80.62
-46.812,80.398
-48.456,80.173
-50.088,79.945
-51.708,79.715
-53.304,79.484
-54.888,79.252
-56.46,79.021
-58.02,78.79
-59.556,78.561
-61.08,78.334
-62.58,78.109
-64.068,77.887
-65.544,77.668
-66.996,77.452
-68.424,77.24
-69.84,77.032
-71.244,76.828
-72.612,76.628
-73.968,76.432
-75.312,76.239
-76.62,76.05
-77.916,75.864
-79.176,75.681
-80.412,75.5
-81.636,75.322
-82.824,75.144
-83.976,74.967
-85.104,74.791
-86.208,74.613
-87.264,74.435
-88.296,74.254
-89.292,74.07
-90.252,73.882
-91.164,73.69
-92.04,73.492
-92.88,73.287
-93.672,73.075
-94.416,72.854
-95.112,72.624
-95.76,72.384
-96.36,72.133
-96.912,71.87
-97.404,71.594
-97.848,71.305
-98.244,71.001
-98.58,70.682
-98.856,70.348
-99.084,69.997
-99.252,69.629
-99.36,69.243
-99.42,68.84
-99.42,68.418
-99.36,67.978
-99.252,67.519
-99.084,67.041
-98.868,66.543
-98.604,66.026
-98.292,65.49
-97.932,64.934
-97.524,64.359
-97.08,63.766
-96.6,63.153
-96.072,62.523
-95.508,61.874
-94.92,61.208
-94.296,60.524
-93.66,59.825
-92.988,59.109
-92.304,58.378
-91.608,57.632
-90.888,56.873
-90.168,56.1
-89.436,55.316
-88.704,54.519
-87.972,53.712
-87.24,52.896
-86.52,52.07
-85.8,51.237
-85.104,50.396
-84.408,49.549
-83.736,48.697
-83.076,47.84
-82.428,46.98
-81.816,46.117
-81.216,45.253
-80.64,44.388
-80.088,43.522
-79.56,42.658
-79.056,41.796
-78.576,40.936
-78.108,40.08
-77.676,39.227
-77.268,38.38
-76.884,37.539
-76.524,36.704
-76.176,35.876
-75.852,35.056
-75.552,34.244
-75.264,33.442
-75,32.65
-74.76,31.868
-74.532,31.097
-74.316,30.338
-74.112,29.591
-73.932,28.858
-73.776,28.137
-73.62,27.43
-73.488,26.738
-73.38,26.061
-73.284,25.399
-73.2,24.753
-73.152,24.124
-73.116,23.511
-73.116,22.916
-73.14,22.338
-73.2,21.778
-73.284,21.237
-73.416,20.715
-73.584,20.212
-73.812,19.729
-74.076,19.265
-74.4,18.822
-74.784,18.399
-75.24,17.996
-75.756,17.615
-76.356,17.255
-77.028,16.915
-77.796,16.598
-78.648,16.301
-79.596,16.027
-80.64,15.774
-81.804,15.542
-83.064,15.332
-84.444,15.143
-85.944,14.975
-87.564,14.828
-89.316,14.703
-91.188,14.597
-93.18,14.512
-95.316,14.447
-97.584,14.402
-99.972,14.375
-102.504,14.367
-105.168,14.377
-107.952,14.405
-110.868,14.45
-113.904,14.511
-117.06,14.588
-120.336,14.68
-123.732,14.786
-127.224,14.906
-130.812,15.039
-134.496,15.183
-138.276,15.34
-142.128,15.506
-146.052,15.683
-150.036,15.868
-154.068,16.062
-158.148,16.263
-162.264,16.47
-166.404,16.683
-170.556,16.902
-174.708,17.124
-178.86,17.35
-182.988,17.579
-187.092,17.809
-191.16,18.041
-195.18,18.274
-199.14,18.507
-203.04,18.74
-206.856,18.971
-210.6,19.201
-214.236,19.43
-217.788,19.655
-221.22,19.878
-224.544,20.098
-227.736,20.315
-230.808,20.528
-233.748,20.737
-236.544,20.941
-239.208,21.142
-241.716,21.339
-244.08,21.531
-246.288,21.718
-248.34,21.902
-250.248,22.081
-251.988,22.255
-253.584,22.426
-255.012,22.593
-256.296,22.755
-257.424,22.914
-258.396,23.07
-259.224,23.222
-259.896,23.371
-260.424,23.518
-260.808,23.662
-261.06,23.803
-261.18,23.943
-261.156,24.08
-261.012,24.216
-260.748,24.35
-260.352,24.484
-259.848,24.616
-259.236,24.748
-258.504,24.879
-257.676,25.009
-256.752,25.139
-255.72,25.27
-254.604,25.399
-253.404,25.529
-252.12,25.659
-250.74,25.789
-249.288,25.919
-247.764,26.048
-246.168,26.178
-244.5,26.307
-242.76,26.436
-240.96,26.564
-239.088,26.692
-237.156,26.818
-235.164,26.944
-233.124,27.068
-231.012,27.19
-228.852,27.311
-226.632,27.429
-224.352,27.544
-222.024,27.657
-219.636,27.766
-217.2,27.872
-214.716,27.973
-212.172,28.071
-209.58,28.164
-206.94,28.251
-204.24,28.334
-201.504,28.411
-198.708,28.482
-195.864,28.546
-192.972,28.604
-190.032,28.655
-187.044,28.7
-184.008,28.736
-180.936,28.766
-177.816,28.787
-174.66,28.801
-171.456,28.807
-168.216,28.804
-164.94,28.794
-161.628,28.775
-158.292,28.748
-154.92,28.713
-151.524,28.67
-148.092,28.618
-144.648,28.559
-141.192,28.491
-137.712,28.416
-134.208,28.333
-130.704,28.243
-127.2,28.145
-123.684,28.041
-120.168,27.929
-116.664,27.811
-113.16,27.687
-109.656,27.557
-106.176,27.422
-102.708,27.281
-99.264,27.135
-95.832,26.984
-92.436,26.829
-89.064,26.67
-85.716,26.507
-82.404,26.341
-79.128,26.172
-75.888,26
-72.684,25.825
-69.516,25.648
-66.396,25.47
-63.312,25.29
-60.276,25.108
-57.276,24.925
-54.324,24.742
-51.42,24.558
-48.564,24.373
-45.744,24.188
-42.972,24.003
-40.236,23.818
-37.548,23.633
-34.896,23.448
-32.292,23.264
-29.724,23.08
-27.192,22.897
-24.696,22.714
-22.236,22.532
-19.8,22.35
-17.4,22.169
-15.024,21.989
-12.684,21.809
-10.356,21.63
-8.052,21.451
-5.76,21.272
-3.492,21.093
-1.248,20.915
0.996,20.737
3.228,20.559
5.448,20.38
7.656,20.201
9.864,20.022
12.072,19.842
14.268,19.661
16.476,19.48
18.672,19.297
20.88,19.113
23.076,18.927
25.284,18.74
27.492,18.552
29.712,18.361
31.932,18.168
34.152,17.973
36.384,17.776
38.616,17.576
40.848,17.373
43.092,17.168
45.336,16.96
47.58,16.748
49.836,16.534
52.092,16.316
54.348,16.095
56.592,15.87
58.848,15.642
61.104,15.41
63.36,15.174
65.604,14.935
67.86,14.692
70.092,14.445
72.336,14.195
74.568,13.94
76.788,13.682
79.008,13.42
81.216,13.154
83.412,12.884
85.608,12.611
87.792,12.334
89.964,12.053
92.124,11.769
94.272,11.481
96.408,11.189
98.544,10.895
100.656,10.597
102.756,10.295
104.844,9.991
106.92,9.683
108.984,9.373
111.036,9.059
113.076,8.743
115.104,8.423
117.12,8.101
119.124,7.776
121.104,7.449
123.072,7.119
125.028,6.786
126.972,6.451
128.904,6.113
130.812,5.773
132.708,5.43
134.58,5.085
136.44,4.738
138.276,4.388
140.088,4.036
141.888,3.681
143.664,3.324
145.416,2.964
147.132,2.602
148.824,2.237
150.492,1.87
152.124,1.5
153.732,1.128
155.292,0.753
156.828,0.376
158.316,-0.004
159.768,-0.386
161.172,-0.771
162.528,-1.159
163.848,-1.549
165.108,-1.941
166.308,-2.336
167.46,-2.733
168.552,-3.133
169.596,-3.534
170.568,-3.938
171.468,-4.344
172.32,-4.752
173.088,-5.162
173.796,-5.573
174.432,-5.985
174.984,-6.399
175.476,-6.814
175.884,-7.23
176.208,-7.646
176.46,-8.063
176.64,-8.48
176.736,-8.897
176.748,-9.313
176.688,-9.729
176.544,-10.144
176.316,-10.558
176.016,-10.97
175.644,-11.381
175.188,-11.789
174.648,-12.196
174.036,-12.599
173.364,-13
172.608,-13.398
171.78,-13.793
170.892,-14.184
169.932,-14.571
168.912,-14.955
167.832,-15.334
166.692,-15.709
165.492,-16.079
164.244,-16.445
162.948,-16.806
161.604,-17.163
160.212,-17.514
158.784,-17.861
157.32,-18.203
155.808,-18.54
154.272,-18.872
152.712,-19.199
151.128,-19.522
149.508,-19.84
147.888,-20.153
146.232,-20.463
144.576,-20.768
142.896,-21.069
141.216,-21.367
139.524,-21.661
137.82,-21.953
136.128,-22.241
134.424,-22.527
132.72,-22.81
131.028,-23.091
129.324,-23.371
127.644,-23.649
125.952,-23.927
124.272,-24.204
122.592,-24.48
120.924,-24.756
119.268,-25.032
117.612,-25.309
115.956,-25.587
114.312,-25.866
112.68,-26.146
111.036,-26.428
109.404,-26.712
107.784,-26.997
106.152,-27.284
104.52,-27.574
102.9,-27.866
101.268,-28.16
99.636,-28.457
97.992,-28.756
96.348,-29.058
94.692,-29.361
93.036,-29.667
91.368,-29.975
89.688,-30.285
87.996,-30.596
86.304,-30.909
84.588,-31.222
82.86,-31.537
81.132,-31.852
79.38,-32.167
77.628,-32.482
75.864,-32.796
74.088,-33.109
72.312,-33.421
70.524,-33.731
68.736,-34.038
66.948,-34.343
65.16,-34.644
63.372,-34.941
61.596,-35.235
59.832,-35.524
58.08,-35.808
56.34,-36.086
54.624,-36.359
52.932,-36.626
51.276,-36.886
49.644,-37.14
48.06,-37.387
46.512,-37.627
45,-37.859
43.548,-38.083
42.156,-38.301
40.812,-38.51
39.54,-38.712
38.328,-38.906
37.188,-39.092
36.108,-39.271
35.124,-39.442
34.2,-39.606
33.372,-39.763
32.628,-39.914
31.956,-40.058
31.38,-40.196
30.888,-40.328
30.492,-40.455
30.18,-40.577
29.952,-40.694
29.808,-40.808
29.76,-40.918
29.796,-41.026
29.916,-41.131
30.12,-41.234
30.408,-41.336
30.768,-41.437
31.2,-41.538
31.692,-41.64
32.268,-41.742
32.892,-41.846
33.576,-41.952
34.308,-42.06
35.1,-42.171
35.928,-42.286
36.792,-42.404
37.692,-42.527
38.616,-42.654
39.564,-42.786
40.524,-42.924
41.496,-43.066
42.48,-43.215
43.464,-43.368
44.436,-43.528
45.396,-43.694
46.356,-43.866
47.292,-44.043
48.204,-44.227
49.092,-44.416
49.944,-44.611
50.772,-44.811
51.552,-45.017
52.308,-45.227
53.016,-45.442
53.676,-45.662
54.288,-45.885
54.864,-46.112
55.38,-46.341
55.86,-46.574
56.28,-46.809
56.652,-47.045
56.988,-47.282
57.264,-47.52
57.492,-47.759
57.672,-47.997
57.816,-48.234
57.912,-48.469
57.96,-48.703
57.972,-48.934
57.948,-49.163
57.888,-49.388
57.792,-49.609
57.66,-49.827
57.504,-50.039
57.324,-50.247
57.12,-50.449
56.892,-50.646
56.64,-50.837
56.376,-51.022
56.112,-51.201
55.824,-51.373
55.536,-51.539
55.236,-51.698
54.936,-51.851
54.624,-51.997
54.324,-52.137
54.036,-52.27
53.736,-52.397
53.46,-52.518
53.184,-52.634
52.92,-52.744
52.668,-52.849
52.428,-52.949
52.212,-53.044
52.008,-53.136
51.816,-53.225
51.648,-53.31
51.504,-53.394
51.384,-53.475
51.276,-53.555
51.192,-53.635
51.132,-53.714
51.096,-53.795
51.084,-53.876
51.096,-53.96
51.132,-54.046
51.204,-54.136
51.288,-54.23
51.408,-54.328
51.54,-54.432
51.708,-54.541
51.9,-54.658
52.128,-54.781
52.368,-54.913
52.644,-55.052
52.932,-55.201
53.256,-55.359
53.604,-55.527
53.976,-55.705
54.372,-55.893
54.804,-56.093
55.248,-56.303
55.716,-56.526
56.196,-56.759
56.712,-57.005
57.24,-57.262
57.792,-57.531
58.368,-57.812
58.956,-58.104
59.568,-58.408
60.192,-58.724
60.828,-59.05
61.476,-59.387
62.136,-59.734
62.82,-60.092
63.504,-60.459
64.2,-60.834
64.896,-61.219
65.604,-61.611
66.324,-62.01
67.032,-62.416
67.752,-62.827
68.472,-63.244
69.192,-63.666
69.912,-64.091
70.632,-64.519
71.352,-64.949
72.06,-65.381
72.756,-65.814
73.452,-66.247
74.136,-66.679
74.82,-67.11
75.492,-67.539
76.152,-67.966
76.788,-68.39
77.424,-68.81
78.048,-69.226
78.648,-69.638
79.248,-70.045
79.812,-70.447
80.376,-70.844
80.916,-71.236
81.444,-71.622
81.948,-72.003
82.44,-72.379
82.908,-72.749
83.352,-73.115
83.772,-73.476
84.18,-73.833
84.564,-74.186
84.912,-74.536
85.248,-74.883
85.56,-75.228
85.836,-75.572
86.088,-75.916
86.316,-76.26
86.508,-76.605
86.664,-76.953
86.796,-77.303
86.892,-77.658
86.964,-78.017
86.988,-78.382
86.976,-78.755
86.94,-79.135
86.844,-79.524
86.724,-79.922
86.556,-80.332
86.352,-80.752
86.1,-81.184
85.812,-81.629
85.476,-82.087
85.092,-82.559
84.672,-83.044
84.204,-83.544
83.688,-84.058
83.136,-84.586
82.536,-85.128
81.9,-85.683
81.216,-86.251
80.496,-86.832
79.74,-87.424
78.948,-88.026
78.12,-88.638
77.268,-89.257
76.38,-89.882
75.456,-90.511
74.52,-91.142
73.56,-91.773
72.588,-92.402
71.592,-93.025
70.596,-93.641
69.576,-94.246
68.568,-94.836
67.56,-95.41
66.552,-95.963
65.544,-96.491
64.56,-96.992
63.588,-97.46
62.628,-97.893
61.692,-98.287
60.792,-98.636
59.916,-98.938
59.064,-99.188
58.26,-99.381
57.492,-99.515
56.76,-99.584
56.076,-99.584
55.428,-99.512
54.828,-99.364
54.276,-99.136
53.772,-98.824
53.328,-98.425
52.92,-97.935
52.56,-97.352
52.26,-96.673
51.996,-95.894
51.792,-95.013
51.624,-94.029
51.504,-92.94
51.42,-91.743
51.384,-90.438
51.384,-89.024
51.42,-87.5
51.48,-85.867
51.576,-84.124
51.696,-82.272
51.828,-80.312
51.984,-78.244
52.164,-76.072
52.344,-73.797
52.536,-71.421
52.728,-68.948
52.932,-66.38
53.112,-63.72
53.304,-60.974
53.472,-58.144
53.628,-55.236
53.772,-52.254
53.892,-49.203
53.976,-46.089
54.048,-42.918
54.084,-39.694
54.096,-36.424
54.072,-33.114
54.012,-29.77
53.904,-26.4
53.772,-23.008
53.592,-19.602
53.376,-16.188
53.124,-12.773
52.824,-9.364
52.488,-5.966
52.104,-2.586
51.684,0.77
51.216,4.095
50.712,7.385
50.172,10.632
49.596,13.831
48.984,16.978
48.336,20.067
47.652,23.094
46.932,26.053
46.188,28.941
45.408,31.755
44.604,34.49
43.776,37.144
42.912,39.713
42.036,42.196
41.136,44.59
40.212,46.894
39.264,49.106
38.304,51.226
37.332,53.253
36.336,55.186
35.328,57.026
34.296,58.774
33.264,60.429
32.208,61.993
31.152,63.468
30.072,64.855
28.992,66.156
27.888,67.373
26.784,68.509
25.668,69.566
24.528,70.546
23.388,71.453
22.236,72.29
21.072,73.06
19.896,73.766
18.708,74.412
17.508,75
16.296,75.534
15.072,76.018
13.848,76.455
12.6,76.849
11.34,77.202
10.08,77.518
8.796,77.799
7.512,78.051
6.216,78.274
4.896,78.472
3.576,78.647
2.256,78.803
0.912,78.942
-0.432,79.065
-1.776,79.175
-3.132,79.275
-4.5,79.365
-5.868,79.448
-7.236,79.524
-8.604,79.595
-9.984,79.663
-11.352,79.728
-12.732,79.792
-14.1,79.854
-15.468,79.915
-16.836,79.976
-18.192,80.037
-19.548,80.098
-20.892,80.16
-22.236,80.222
-23.568,80.284
-24.9,80.346
-26.208,80.407
-27.516,80.468
-28.812,80.528
-30.096,80.586
-31.368,80.642
-32.64,80.696
-33.888,80.746
-35.124,80.793
-36.36,80.837
-37.572,80.875
-38.772,80.908
-39.972,80.936
-41.16,80.958
-42.324,80.974
-43.488,80.982
-44.64,80.984
-45.78,80.977
-46.908,80.963
-48.036,80.941
-49.152,80.911
-50.256,80.872
-51.348,80.825
-52.44,80.769
-53.52,80.705
-54.588,80.632
-55.656,80.55
-56.712,80.46
-57.768,80.362
-58.812,80.256
-59.856,80.142
-60.888,80.02
-61.92,79.89
-62.94,79.754
-63.96,79.611
-64.968,79.461
-65.976,79.306
-66.972,79.144
-67.968,78.977
-68.964,78.805
-69.948,78.628
-70.92,78.446
-71.892,78.261
-72.864,78.071
-73.824,77.878
-74.784,77.682
-75.732,77.483
-76.68,77.281
-77.616,77.076
-78.54,76.869
-79.464,76.659
-80.388,76.448
-81.3,76.234
-82.2,76.018
-83.1,75.8
-83.988,75.58
-84.876,75.357
-85.764,75.132
-86.628,74.905
-87.504,74.675
-88.356,74.442
-89.22,74.206
-90.06,73.966
-90.912,73.723
-91.74,73.475
-92.568,73.223
-93.396,72.965
-94.212,72.702
-95.016,72.433
-95.82,72.157
-96.624,71.875
-97.404,71.584
-98.184,71.286
-98.952,70.978
-99.708,70.662
-100.464,70.335
-101.208,69.998
-101.928,69.649
-102.648,69.289
-103.344,68.917
-104.028,68.532
-104.7,68.133
-105.348,67.721
-105.984,67.294
-106.596,66.853
-107.184,66.396
-107.748,65.924
-108.3,65.436
-108.816,64.932
-109.308,64.411
-109.764,63.874
-110.196,63.32
-110.604,62.75
-110.976,62.162
-111.312,61.558
-111.612,60.937
-111.876,60.3
-112.116,59.646
-112.32,58.976
-112.476,58.291
-112.608,57.59
-112.704,56.875
-112.764,56.145
-112.788,55.402
-112.788,54.645
-112.752,53.877
-112.68,53.097
-112.596,52.306
-112.476,51.505
-112.344,50.696
-112.176,49.878
-112.008,49.054
-111.828,48.223
-111.636,47.388
-111.444,46.548
-111.24,45.706
-111.048,44.863
-110.868,44.018
-110.712,43.174
-110.568,42.332
-110.448,41.493
-110.352,40.658
-110.304,39.827
-110.292,39.003
-110.34,38.186
-110.436,37.378
-110.592,36.578
-110.808,35.789
-111.108,35.011
